Question,Doc_index
2025학년도 1학기 개강일은 언제인가요?,8.txt
2025학년도 및 1학기 개시일은 몇 월 며칠인가요?,8.txt
2025년 1학기 수강신청 확인 및 변경은 언제까지 가능한가요?,8.txt
수강신청 취소는 어떤 기간에 할 수 있나요?,8.txt
1학기 중간고사는 언제 진행되나요?,8.txt
기말고사 기간은 정확히 언제부터 언제까지인가요?,8.txt
2025년 1학기 성적입력 및 정정은 언제 하나요?,8.txt
하계 계절학기 개강일은 언제인가요?,8.txt
1학기 종강일은 몇 월 며칠인가요?,8.txt
복수전공 신청은 몇 차까지 있으며 각각 언제인가요?,8.txt
1학기 중 수업일수 1/4선은 언제인가요?,8.txt
2025년 여름방학은 언제 끝나나요?,8.txt
1학기 학사경고 대상자 상담은 언제 실시하나요?,8.txt
학사경고 대상자는 어떤 절차를 진행해야 하나요?,8.txt
대학원 수강신청 변경기간은 언제까지인가요?,8.txt
2024학년도 전기 학위수여식은 언제인가요?,8.txt
1학기 중 융합전공 신청은 언제 하나요?,8.txt
융합전공 대상자 확정은 언제 이루어지나요?,8.txt
융합전공 등록 기간은 언제인가요?,8.txt
2025학년도 2학기 복수전공 2차 신청은 언제 가능한가요?,8.txt
2학기 학부 수강신청 기간은 언제인가요?,8.txt
대학원 2학기 수강신청은 언제 진행되나요?,8.txt
2학기 등록금 1차 분할납부 기간은 언제인가요?,8.txt
학사제도 부속요청은 언제 접수하나요?,8.txt
미래설계 신청 기간은 언제인가요?,8.txt
대학원 학위논문 예비심사는 언제 신청하나요?,8.txt
1학기 등록금 분할납부는 몇 차까지 있고 언제 납부하나요?,8.txt
3차 및 4차 분납자는 언제까지 등록해야 하나요?,8.txt
1학기 중간고사와 미래설계 신청이 겹치는 날짜는 있나요?,8.txt
1학기 수업일수 1/4선이 지나면 어떤 의미가 있나요?,8.txt
3월에 실시되는 주요 학사일정은 어떤 것들이 있나요?,8.txt
4월에 예정된 학사 일정은 무엇인가요?,8.txt
5월에 시행되는 복수전공 신청 기간은 며칠인가요?,8.txt
기말시험은 몇 주차에 시행되나요?,8.txt
성적정정은 며칠간 가능한가요?,8.txt
1학기 종료는 정확히 몇 월 며칠인가요?,8.txt
하계 계절학기 개강은 정규 학기의 종료 후 며칠 뒤인가요?,8.txt
2학기 수강신청과 등록 일정은 얼마나 떨어져 있나요?,8.txt
2025년에는 총 몇 번의 복수전공 신청 기회가 있나요?,8.txt
학과(부) 배정자는 어떤 추가 신청이 가능한가요?,8.txt
"휴학, 복학, 자퇴 신청은 언제까지 해야 하나요?",8.txt
학부생의 수강신청 변경은 몇 월 며칠까지 가능한가요?,8.txt
‘수강신청 확인서’는 어떤 기간 내에 확인하나요?,8.txt
대학원 학위논문 심사는 예비심사 이후 어떤 절차가 있나요?,8.txt
1학기 성적입력 시작일은 언제인가요?,8.txt
1학기 성적정정 마감일은 언제인가요?,8.txt
2025년 3월에 실시되는 학사일정은 총 몇 건인가요?,8.txt
1학기 개강과 학위수여식은 같은 달에 진행되나요?,8.txt
2학기 등록은 언제부터 시작되나요?,8.txt
