1학기 개강일이 언제야?	1학기 개강일은 3월 4일 화요일이야.	8.txt
휴학 신청 기간은 언제부터 언제까지야?	휴학 신청 기간은 3월 4일 화요일부터 3월 7일 금요일까지야.	8.txt
복학 신청은 언제 해야 해?	복학 신청은 3월 4일 화요일부터 3월 7일 금요일까지 할 수 있어.	8.txt
자퇴 신청을 하려면 언제까지 해야 돼?	자퇴 신청은 3월 4일 화요일부터 3월 7일 금요일까지야.	8.txt
학부 수강신청 변경은 언제까지 가능해?	학부 수강신청 확인 및 변경은 3월 10일 월요일까지 가능해.	8.txt
2025학년도 2학기 개강일이 언제야?	2025학년도 2학기 개강일은 2025년 9월 1일(월)입니다.	9.txt
학부생 휴학 신청은 언제 할 수 있어?	학부생 휴학 신청은 2025년 9월 1일(월)부터 9월 4일(목)까지 가능합니다.	9.txt
대학원 논문제출자격시험 신청 기간이 언젠지 알려줄래?	대학원 논문제출자격시험 신청 기간은 2025년 9월 1일(월)부터 9월 4일(목)까지입니다.	9.txt
수강확정은 언제까지 해야 해?	수강확정은 2025년 9월 1일(월)부터 9월 4일(목)까지 가능합니다.	9.txt
수강 정정은 몇 월 며칠이야?	수강 정정은 2025년 9월 5일(금)입니다.	9.txt
전자시간표는 언제 열려?	전자시간표는 2025년 1월 27일(월)에 열립니다.	10.txt	
2025학년도 수강신청은 언제 시작해?	2025학년도 수강신청은 사전 수강신청 기준으로 1학기는 2월 7일(금)에 시작하고, 2학기는 8월 1일(금)에 시작합니다.	10.txt	
수강신청은 캠퍼스별로 어떻게 진행돼?	수강신청은 캠퍼스별로 등록학기 수강신청이 진행되며, 등록예정자 기준으로 진행됩니다.	10.txt	
사전 수강신청은 어떻게 진행돼?	사전 수강신청은 정해진 기간 동안 수강신청을 진행하고, 신청 인원이 수강정원 이내일 경우 수강이 확정됩니다. 정원을 초과하면 전산이 삭제되고 최종 수강신청을 진행해야 합니다.	10.txt	
대학원 과정 수강신청은 언제 시작해?	대학원 과정 수강신청은 학사과정보다 하루 빠른 일정으로 시작됩니다.	10.txt
수강철회는 어떻게 신청하는 거야?	GLS 책가방 메뉴를 통해 교과사에게 중일을 신청할 수 있습니다.	11.txt	
수강신청 불가 기간은 언제야?	1학기 수강신청 불가 기간은 3.6.(수) 17:00 ~ 3.7.(목) 07:59이며, 2학기는 9.4.(수) 17:00 ~ 9.5.(목) 07:59입니다.	11.txt	
폐강 확정 날짜가 언제인지 알려줄래?	1학기 폐강 확정 날짜는 3.7.(목)이며, 2학기는 9.5.(목)입니다.	11.txt	
2학기 수강신청 시작일이 언제야?	2학기 수강신청 시작일은 9.2.(월) 08:00입니다.	11.txt	
폐강강좌 수강신청은 언제 할 수 있어?	1학기 폐강강좌 수강신청은 3.12.(수) 10:00 ~ 22:59이고, 2학기는 9.9.(월) 10:00 ~ 22:59입니다.	11.txt
학사과정은 몇 년이야?	학사과정은 일반학과의 경우 4년입니다.	12.txt	
건축학과는 몇 년 동안 다녀야 해?	건축학과는 5년 동안 다녀야 합니다.	12.txt	
